GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
1400000US19111490100,"Census Tract 4901, Lee County, Iowa",1915,154,8.5,3.2,8.4,3.9,15,5.2,9.2,3.5,20.9,4.6,22.9,6.1,10.7,3.9,3,2.1,0.6,0.9,0.9,1.1,41572,4776,47273,4201,23.8,(X),(X),(X),(X),(X),1158,98,2,2,0.8,1.2,14.8,7.1,12.6,4.6,21.9,6.7,27.6,6.9,15.1,5.6,2.7,2.8,0.9,1.4,1.6,1.9,48966,4131,56100,5904,(X),(X),25,(X),(X),(X),788,99,1.1,2,0,2.8,7.5,5.2,7.1,4.8,20.9,8.1,35.3,8.5,20.4,7.9,3.9,4,1.4,2.1,2.3,2.7,60061,7998,N,N,(X),(X),(X),(X),(X),(X),757,150,18.5,7.6,19.9,9.7,25,9.8,9.1,4.9,13.2,6.1,9.5,8.7,1.2,1.9,3.6,3,0,2.9,0,2.9,21464,6040,29042,6291,(X),(X),(X),(X),20.5,(X)
1400000US19111490200,"Census Tract 4902, Lee County, Iowa",1782,189,8.1,4.7,6.1,3.4,17.1,6.5,11.3,4.6,20.2,7.7,14,6.6,10.4,4.9,6.5,3.5,4,3,2.3,2.2,38426,6401,57119,9106,20.1,(X),(X),(X),(X),(X),1133,154,7.1,5.6,3,3.1,11.7,6.4,10.4,5.3,19.8,9.4,14.1,8,14.9,7.3,10.2,5.6,5.2,4.3,3.6,3.3,46007,15213,69814,12842,(X),(X),17.6,(X),(X),(X),880,154,0,2.5,1.6,2.5,9.1,5.9,9.9,5.3,20.9,9.7,14.8,9.1,19.2,8.5,13.2,7.3,6.7,5.6,4.7,4.3,67054,15072,N,N,(X),(X),(X),(X),(X),(X),649,156,16.6,10.7,14.6,7.9,19.9,11.6,15.3,8.6,19.7,11.2,9.6,8.1,2.5,3.7,0,3.4,1.8,2.9,0,3.4,23558,9379,30676,6995,(X),(X),(X),(X),24.5,(X)
1400000US19111490300,"Census Tract 4903, Lee County, Iowa",829,88,8.4,5.2,1.7,2,10.3,5.4,10.9,5.9,13.1,6.9,24,8,13.1,6.5,17.2,6.8,1.2,1.9,0,2.7,56705,10061,60222,6283,14.8,(X),(X),(X),(X),(X),628,77,5.9,4.9,2.2,2.6,4.5,3.7,9.9,7,12.6,6.7,29.8,9,13.5,7.4,20.1,8.1,1.6,2.5,0,3.5,60694,4440,66497,6752,(X),(X),14.5,(X),(X),(X),552,85,2.4,3.5,2.5,3,5.1,4.3,11.2,7.9,8,5.9,30.8,9.2,15.4,8.2,22.8,8.9,1.8,2.8,0,4,65132,8320,N,N,(X),(X),(X),(X),(X),(X),201,76,16.4,14.8,0,10.6,28.4,17,13.9,12.5,19.9,18,7.5,8.6,7,10.6,7,10.5,0,10.6,0,10.6,33098,14049,38119,11572,(X),(X),(X),(X),15.9,(X)
1400000US19111490400,"Census Tract 4904, Lee County, Iowa",1127,99,2,1.2,4.3,2.3,9.1,3.6,12.8,4.2,16.2,5.2,28.1,6,13.8,4.2,13.2,3.6,0.3,0.4,0.1,0.3,56035,3057,58812,3524,25.4,(X),(X),(X),(X),(X),851,97,0.6,1,0.7,1.2,4.5,2.9,8.3,3.6,15.9,6,33.8,7.1,18.7,5.6,17,4.7,0.4,0.5,0.1,0.4,64139,6768,68386,4104,(X),(X),28.2,(X),(X),(X),766,94,0,2.9,0.8,1.4,2.1,1.8,9.3,4.1,13.3,4.7,34.9,7.7,20.2,6.1,18.9,5.2,0.4,0.6,0.1,0.4,67875,5775,N,N,(X),(X),(X),(X),(X),(X),276,70,6.5,3.8,15.6,8.3,23.6,9.9,26.4,11.5,17.4,8.6,10.5,6.9,0,7.8,0,7.8,0,7.8,0,7.8,25882,3289,28504,3561,(X),(X),(X),(X),16.7,(X)
1400000US19111490500,"Census Tract 4905, Lee County, Iowa",1434,113,5.9,3.1,2.8,2,11.5,3.7,7.9,3.1,16.6,5.1,30.5,6,7.6,3.2,9.8,3.7,4.3,3.4,3.2,3.1,51242,2024,65399,9986,26.3,(X),(X),(X),(X),(X),1048,112,2.2,1.7,0.5,0.7,9.7,3.8,3.6,1.9,21.6,6.8,32,6.6,8,3.7,13.4,5.2,4.7,3.8,4.4,4.1,57125,10805,75354,12139,(X),(X),28,(X),(X),(X),876,104,0,2.5,0.6,0.9,6.7,3.7,3.3,1.9,21.3,7.2,32.6,7.1,9.6,4.4,15.1,5.8,5.5,4.6,5.3,4.9,63750,4699,N,N,(X),(X),(X),(X),(X),(X),386,85,15.8,9.9,9.1,7.1,20.2,8.8,16.3,8.5,5.7,3.4,23.8,12.7,5.7,5.4,0,5.7,3.4,5.1,0,5.7,26900,5618,36596,8230,(X),(X),(X),(X),21.8,(X)
1400000US19111490600,"Census Tract 4906, Lee County, Iowa",1237,135,9.1,5.2,4.9,2.4,9.9,3.7,15.4,4.3,16.8,6,21.3,6.8,11.5,4.3,9.1,4.2,1.4,1.5,0.6,1,43644,7547,51121,5069,25.9,(X),(X),(X),(X),(X),927,121,4.5,5.3,1.6,1.7,3.1,2.4,18.2,5.2,19.4,7.4,25.1,7.9,14.1,5.6,11.3,5.7,1.6,1.9,0.9,1.4,51295,4134,58865,5873,(X),(X),23.3,(X),(X),(X),797,114,1.5,1.8,1.9,2,2.8,2.3,16.4,5.8,22,8,26.5,8.3,14.4,6.2,13.2,6.6,0.4,0.6,1,1.6,53177,7709,N,N,(X),(X),(X),(X),(X),(X),310,80,22.9,13.9,15.5,7.6,30,13.3,7.1,7.6,8.1,7.3,11.3,11.4,3.5,4.2,1,1.5,0.6,1.5,0,7,17250,6271,26805,6386,(X),(X),(X),(X),32.9,(X)
1400000US19111490700,"Census Tract 4907, Lee County, Iowa",1925,122,4.3,2.7,5.9,2.8,12.6,5.7,11.6,4.1,19.1,4.4,24.3,5.8,13.6,4.2,5.9,2.6,1.1,1.3,1.6,1.6,47132,4065,55568,5626,20.4,(X),(X),(X),(X),(X),1183,128,5.6,4.2,3.6,3.1,5.4,3.7,9.1,5.1,17.5,6.9,29.2,8.1,18.9,5.9,8,4.2,1,1.8,1.8,2.1,57669,9483,63668,7911,(X),(X),19.6,(X),(X),(X),907,121,2.1,2.2,0.9,1.5,5.8,4.4,6.4,4.5,13.3,4.9,35.9,8.8,21.4,6.7,10.5,5.4,1.3,2.3,2.3,2.7,65760,5843,N,N,(X),(X),(X),(X),(X),(X),742,139,2.3,2.5,11.1,6.3,24.1,11.9,16.2,7.8,27.4,8.5,10,7.2,5.1,5.6,1.3,2.3,1.3,2,1.2,2.1,31279,8373,39693,5866,(X),(X),(X),(X),21.6,(X)
1400000US19111490800,"Census Tract 4908, Lee County, Iowa",1051,115,11.1,6.8,17,6.9,28.4,7.3,12.9,5.6,12.2,6.1,7.9,4,7.6,4.7,2.8,3,0,2.1,0,2.1,22083,3429,31670,4018,29.3,(X),(X),(X),(X),(X),656,112,20.7,8.6,15.1,9.2,13.4,6.9,11.1,7.1,15.7,8.8,8.8,5.3,10.7,7.1,4.4,4.9,0,3.4,0,3.4,25212,3492,34953,6168,(X),(X),25.2,(X),(X),(X),352,103,0,6.2,11.4,13.6,0,6.2,20.7,12.6,26.4,15.7,13.4,10.2,19.9,13.6,8.2,8.8,0,6.2,0,6.2,44722,10057,N,N,(X),(X),(X),(X),(X),(X),395,95,10.9,7.6,25.8,13,38,14.4,15.9,9.9,2.8,4.5,4.1,4.4,2.5,4,0,5.5,0,5.5,0,5.5,17303,2557,21077,3412,(X),(X),(X),(X),33.9,(X)
1400000US19111490900,"Census Tract 4909, Lee County, Iowa",787,108,9.7,6.6,18.3,9.8,14,9.8,16.4,8.4,21,9.5,11.9,6.9,4.1,3.5,1.3,1.9,2.5,2.6,0.9,1.4,30089,7446,37145,5984,17.3,(X),(X),(X),(X),(X),465,84,17.6,12.1,4.5,5.2,14,9.8,11.6,7.5,19.4,10.4,18.1,10.7,6.9,6,2.2,3.2,4.3,4.2,1.5,2.5,36193,8979,45166,9723,(X),(X),16.6,(X),(X),(X),278,70,0,7.8,7.2,8.3,2.5,3.3,16.2,11.8,25.2,13,24.1,16.6,11.5,10.1,3.6,5.3,7.2,7.3,2.5,4.2,49063,5736,N,N,(X),(X),(X),(X),(X),(X),322,103,8.1,9.6,28.3,16.9,23.6,19.9,23.3,15.9,13.7,15.6,3.1,5.1,0,6.7,0,6.7,0,6.7,0,6.7,17037,11121,23084,5383,(X),(X),(X),(X),13.7,(X)
1400000US19111491000,"Census Tract 4910, Lee County, Iowa",802,98,8.5,5.6,7.4,6.3,16.8,8.5,24.6,11,18.6,8.2,17.8,7.6,6.4,3.8,0,2.8,0,2.8,0,2.8,32333,7864,35882,4067,22.1,(X),(X),(X),(X),(X),605,93,6.6,5.5,7.1,7.6,19,10.7,29.6,13.7,14.7,7.8,14.5,8.3,8.4,5,0,3.6,0,3.6,0,3.6,29688,8020,35997,5088,(X),(X),26.3,(X),(X),(X),383,89,2.9,4.7,0,5.7,8.6,7,35,19.3,17.2,9.5,23,12.8,13.3,8.5,0,5.7,0,5.7,0,5.7,39276,10637,N,N,(X),(X),(X),(X),(X),(X),197,71,14.2,12.8,8.1,9.3,31,18.3,7.6,8.8,25.9,20.6,13.2,12.7,0,10.8,0,10.8,0,10.8,0,10.8,22679,12689,27560,7093,(X),(X),(X),(X),9.1,(X)
